sequence_id,sentence,tokens,tags,num_tokens,source_doc
SEQ_0007_02,A person with this defect has the far point nearer than infinity,A | person | with | this | defect | has | the | far | point | nearer | than | infinity,DET | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER,12,jesc110.pdf_3_8
SEQ_0008_00,"A (a), (b) The myopic eye, and (c) correction for myopia with a concave lens of suitable power will concave lens bring the image back on to the retina and thus the defect is corrected","A | (a), | (b) | The | myopic | eye, | and | (c) | correction | for | myopia | with | a | concave | lens",DET | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | NOUN,15,jesc110.pdf_3_9
SEQ_0008_01,(b) Hypermetropia Hypermetropia is also known as far-sightedness,(b) | Hypermetropia | Hypermetropia | is | also | known | as | far-sightedness,OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER,8,jesc110.pdf_3_9
SEQ_0008_02,A person with hypermetropia can see distant objects clearly but cannot see nearby objects distinctly,A | person | with | hypermetropia | can | see | distant | objects | clearly | but | cannot | see | nearby | objects | distinctly,DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_3_9
SEQ_0009_00,This defect can be corrected by using a convex lens of appropriate power,This | defect | can | be | corrected | by | using | a | convex | lens | of | appropriate | power,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | NOUN | OTHER | OTHER | OTHER,13,jesc110.pdf_3_10
SEQ_0009_01,This is illustrated in Fig,This | is | illustrated | in | Fig,OTHER | DET | OTHER | OTHER | OTHER,5,jesc110.pdf_3_10
SEQ_0010_00,weakening of the ciliary muscles and diminishing flexibility of the eye lens,weakening | of | the | ciliary | muscles | and | diminishing | flexibility | of | the | eye | lens,OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | NOUN | NOUN,12,jesc110.pdf_4_11
SEQ_0010_01,"Sometimes, a person may suffer from both myopia and hypermetropia","Sometimes, | a | person | may | suffer | from | both | myopia | and | hypermetropia",OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,10,jesc110.pdf_4_11
SEQ_0010_02,Such people often require bi-focal lenses,Such | people | often | require | bi-focal | lenses,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,6,jesc110.pdf_4_11
SEQ_0011_00,A student has difficulty reading the blackboard while sitting in the last row,A | student | has | difficulty | reading | the | blackboard | while | sitting | in | the | last | row,DET | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER,13,jesc110.pdf_4_12
SEQ_0011_01,"What could be the defect the child is suffering from? How can it be corrected? Think it over You talk of wondrous things you see, You say the sun shines bright; I feel him warm, but how can he Or make it day or night? – C",What | could | be | the | defect | the | child | is | suffering | from? | How | can | it | be | corrected?,OTHER | OTHER | OTHER | DET | OTHER | DET | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_4_12
SEQ_0011_02,"CIBBER Do you know that our eyes can live even after our death? By donating our eyes after we die, we can light the life of a blind person",CIBBER | Do | you | know | that | our | eyes | can | live | even | after | our | death? | By | donating,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_4_12
SEQ_0012_00,"So, if we have got the gift of vision, why not pass it on to somebody who does not have it? What do we have to keep in mind when eyes have to be donated? n Eye donors can belong to any age group or sex","So, | if | we | have | got | the | gift | of | vision, | why | not | pass | it | on | to",OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_4_13
SEQ_0012_01,"People who use spectacles, or those operated for cataract, can still donate the eyes","People | who | use | spectacles, | or | those | operated | for | cataract, | can | still | donate | the | eyes",OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER,14,jesc110.pdf_4_13
SEQ_0012_02,"People who are diabetic, have hypertension, asthma patients and those without communicable diseases can also donate eyes","People | who | are | diabetic, | have | hypertension, | asthma | patients | and | those | without | communicable | diseases | can | also",OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_4_13
SEQ_0013_00,n Eyes must be removed within 4-6 hours after death,n | Eyes | must | be | removed | within | 4-6 | hours | after | death,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,10,jesc110.pdf_5_14
SEQ_0013_01,Inform the nearest eye bank immediately,Inform | the | nearest | eye | bank | immediately,OTHER | DET | OTHER | NOUN | OTHER | OTHER,6,jesc110.pdf_5_14
SEQ_0013_02,n The eye bank team will remove the eyes at the home of the deceased or at a hospital,n | The | eye | bank | team | will | remove | the | eyes | at | the | home | of | the | deceased,OTHER | DET | NOUN | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | DET | OTHER | OTHER | DET | OTHER,15,jesc110.pdf_5_14
SEQ_0014_00,1111100000,1111100000,OTHER,1,jesc110.pdf_5_15
SEQ_0015_00,"n Draw a straight line PE inclined to one of the refracting surfaces, say AB, of the prism","n | Draw | a | straight | line | PE | inclined | to | one | of | the | refracting | surfaces, | say | AB,",OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_5_16
SEQ_0015_01,"n Fix two pins, say at points P and Q, on the line PE as shown in Fig","n | Fix | two | pins, | say | at | points | P | and | Q, | on | the | line | PE | as",OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER,15,jesc110.pdf_5_16
SEQ_0016_00,"n Draw perpendiculars to the refracting surfaces AB and AC of the prism at points E and F, respectively",n | Draw | perpendiculars | to | the | refracting | surfaces | AB | and | AC | of | the | prism | at | points,OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER,15,jesc110.pdf_5_17
SEQ_0016_01,"n Mark the angle of incidence (∠i), the angle of refraction (∠r) and the angle of emergence (∠e) as shown in Fig","n | Mark | the | angle | of | incidence | (∠i), | the | angle | of | refraction | (∠r) | and | the | angle",OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER,15,jesc110.pdf_5_17
SEQ_0017_00,PE – Incident ray ∠i – Angle of incidence EF – Refracted ray ∠r – Angle of refraction FS – Emergent ray ∠e – Angle of emergence ∠A – Angle of the prism ∠D – Angle of deviation FFFFFiiiiiggggguuuuurrrrreeeee 1111100000,PE | – | Incident | ray | ∠i | – | Angle | of | incidence | EF | – | Refracted | ray | ∠r | –,OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER,15,jesc110.pdf_6_18
SEQ_0018_00,Is this similar to the kind of bending that occurs in a glass slab? The peculiar shape of the prism makes the emergent ray bend at an angle to the direction of the incident ray,Is | this | similar | to | the | kind | of | bending | that | occurs | in | a | glass | slab? | The,DET | OTHER | OTHER | OTHER | DET | OTHER | OTHER | OTHER | OTHER | OTHER | OTHER | DET | OTHER | OTHER | DET,15,jesc110.pdf_6_19
SEQ_0018_01,This angle is called the angle of deviation,This | angle | is | called | the | angle | of | deviation,OTHER | OTHER | DET | OTHER | DET | OTHER | OTHER | OTHER,8,jesc110.pdf_6_19
SEQ_0018_02,In this case ∠D is the angle of deviation,In | this | case | ∠D | is | the | angle | of | deviation,OTHER | OTHER | OTHER | OTHER | DET | DET | OTHER | OTHER | OTHER,9,jesc110.pdf_6_19
SEQ_0019_00,AAAAAccccctttttiiiiivvvvviiiiitttttyyyyy 1111100000,AAAAAccccctttttiiiiivvvvviiiiitttttyyyyy | 1111100000,OTHER | OTHER,2,jesc110.pdf_6_20
